 PRIMARY DESCRIPTION,Date,Counts
DECEPTIVE PRACTICE,2020-07-17,61
HOMICIDE,2020-07-17,4
MOTOR VEHICLE THEFT,2020-07-17,26
NARCOTICS,2020-07-17,13
OFFENSE INVOLVING CHILDREN,2020-07-17,5
OTHER OFFENSE,2020-07-17,27
PROSTITUTION,2020-07-17,15
PUBLIC PEACE VIOLATION,2020-07-17,1
ROBBERY,2020-07-17,35
SEX OFFENSE,2020-07-17,3
THEFT,2020-07-17,111
WEAPONS VIOLATION,2020-07-17,19
ARSON,2020-07-18,3
ASSAULT,2020-07-18,56
BATTERY,2020-07-18,161
BURGLARY,2020-07-18,21
CRIMINAL DAMAGE,2020-07-18,84
CRIMINAL SEXUAL ASSAULT,2020-07-18,8
CRIMINAL TRESPASS,2020-07-18,9
DECEPTIVE PRACTICE,2020-07-18,30
HOMICIDE,2020-07-18,4
INTERFERENCE WITH PUBLIC OFFICER,2020-07-18,2
INTIMIDATION,2020-07-18,1
KIDNAPPING,2020-07-18,1
MOTOR VEHICLE THEFT,2020-07-18,40
NARCOTICS,2020-07-18,8
OFFENSE INVOLVING CHILDREN,2020-07-18,3
OTHER OFFENSE,2020-07-18,25
PUBLIC PEACE VIOLATION,2020-07-18,1
ROBBERY,2020-07-18,28
SEX OFFENSE,2020-07-18,2
THEFT,2020-07-18,120
WEAPONS VIOLATION,2020-07-18,36
ASSAULT,2020-07-19,64
BATTERY,2020-07-19,160
BURGLARY,2020-07-19,16
CONCEALED CARRY LICENSE VIOLATION,2020-07-19,1
CRIMINAL DAMAGE,2020-07-19,93
CRIMINAL SEXUAL ASSAULT,2020-07-19,3
CRIMINAL TRESPASS,2020-07-19,14
DECEPTIVE PRACTICE,2020-07-19,17
HOMICIDE,2020-07-19,4
INTERFERENCE WITH PUBLIC OFFICER,2020-07-19,1
INTIMIDATION,2020-07-19,1
LIQUOR LAW VIOLATION,2020-07-19,1
MOTOR VEHICLE THEFT,2020-07-19,34
NARCOTICS,2020-07-19,14
OFFENSE INVOLVING CHILDREN,2020-07-19,1
OTHER OFFENSE,2020-07-19,39
PUBLIC PEACE VIOLATION,2020-07-19,3
ROBBERY,2020-07-19,21
SEX OFFENSE,2020-07-19,2
STALKING,2020-07-19,2
THEFT,2020-07-19,104
WEAPONS VIOLATION,2020-07-19,26
ARSON,2020-07-20,2
ASSAULT,2020-07-20,55
BATTERY,2020-07-20,137
BURGLARY,2020-07-20,33
CRIMINAL DAMAGE,2020-07-20,71
CRIMINAL SEXUAL ASSAULT,2020-07-20,5
CRIMINAL TRESPASS,2020-07-20,4
DECEPTIVE PRACTICE,2020-07-20,58
HOMICIDE,2020-07-20,4
INTERFERENCE WITH PUBLIC OFFICER,2020-07-20,1
INTIMIDATION,2020-07-20,3
LIQUOR LAW VIOLATION,2020-07-20,1
MOTOR VEHICLE THEFT,2020-07-20,28
NARCOTICS,2020-07-20,10
OFFENSE INVOLVING CHILDREN,2020-07-20,3
OTHER OFFENSE,2020-07-20,38
PUBLIC PEACE VIOLATION,2020-07-20,1
ROBBERY,2020-07-20,23
SEX OFFENSE,2020-07-20,1
THEFT,2020-07-20,137
WEAPONS VIOLATION,2020-07-20,17
ARSON,2020-07-21,2
ASSAULT,2020-07-21,59
BATTERY,2020-07-21,120
BURGLARY,2020-07-21,20
CONCEALED CARRY LICENSE VIOLATION,2020-07-21,1
CRIMINAL DAMAGE,2020-07-21,86
CRIMINAL SEXUAL ASSAULT,2020-07-21,2
CRIMINAL TRESPASS,2020-07-21,13
DECEPTIVE PRACTICE,2020-07-21,61
HOMICIDE,2020-07-21,5
HUMAN TRAFFICKING,2020-07-21,1
INTERFERENCE WITH PUBLIC OFFICER,2020-07-21,2
INTIMIDATION,2020-07-21,1
LIQUOR LAW VIOLATION,2020-07-21,1
MOTOR VEHICLE THEFT,2020-07-21,34
NARCOTICS,2020-07-21,16
OFFENSE INVOLVING CHILDREN,2020-07-21,4
OTHER OFFENSE,2020-07-21,32
PROSTITUTION,2020-07-21,6
PUBLIC PEACE VIOLATION,2020-07-21,1
ROBBERY,2020-07-21,28
SEX OFFENSE,2020-07-21,4
THEFT,2020-07-21,109
WEAPONS VIOLATION,2020-07-21,16
ARSON,2020-07-22,2
ASSAULT,2020-07-22,66
BATTERY,2020-07-22,102
BURGLARY,2020-07-22,18
CRIMINAL DAMAGE,2020-07-22,69
CRIMINAL SEXUAL ASSAULT,2020-07-22,4
CRIMINAL TRESPASS,2020-07-22,11
DECEPTIVE PRACTICE,2020-07-22,47
HOMICIDE,2020-07-22,2
INTERFERENCE WITH PUBLIC OFFICER,2020-07-22,2
INTIMIDATION,2020-07-22,1
KIDNAPPING,2020-07-22,2
LIQUOR LAW VIOLATION,2020-07-22,1
MOTOR VEHICLE THEFT,2020-07-22,31
NARCOTICS,2020-07-22,22
OFFENSE INVOLVING CHILDREN,2020-07-22,5
OTHER OFFENSE,2020-07-22,39
PROSTITUTION,2020-07-22,13
PUBLIC PEACE VIOLATION,2020-07-22,4
ROBBERY,2020-07-22,25
SEX OFFENSE,2020-07-22,3
STALKING,2020-07-22,1
THEFT,2020-07-22,111
WEAPONS VIOLATION,2020-07-22,26
ARSON,2020-07-23,3
ASSAULT,2020-07-23,50
BATTERY,2020-07-23,106
BURGLARY,2020-07-23,24
CRIMINAL DAMAGE,2020-07-23,70
CRIMINAL SEXUAL ASSAULT,2020-07-23,2
CRIMINAL TRESPASS,2020-07-23,10
DECEPTIVE PRACTICE,2020-07-23,41
HOMICIDE,2020-07-23,3
INTIMIDATION,2020-07-23,1
MOTOR VEHICLE THEFT,2020-07-23,29
NARCOTICS,2020-07-23,13
OBSCENITY,2020-07-23,1
OFFENSE INVOLVING CHILDREN,2020-07-23,4
OTHER OFFENSE,2020-07-23,29
PUBLIC PEACE VIOLATION,2020-07-23,4
ROBBERY,2020-07-23,27
SEX OFFENSE,2020-07-23,2
THEFT,2020-07-23,108
WEAPONS VIOLATION,2020-07-23,31
ARSON,2020-07-24,2
ASSAULT,2020-07-24,51
BATTERY,2020-07-24,133
BURGLARY,2020-07-24,32
CONCEALED CARRY LICENSE VIOLATION,2020-07-24,1
CRIMINAL DAMAGE,2020-07-24,62
CRIMINAL SEXUAL ASSAULT,2020-07-24,1
CRIMINAL TRESPASS,2020-07-24,10
DECEPTIVE PRACTICE,2020-07-24,51
HOMICIDE,2020-07-24,2
INTERFERENCE WITH PUBLIC OFFICER,2020-07-24,2
INTIMIDATION,2020-07-24,1
MOTOR VEHICLE THEFT,2020-07-24,38
NARCOTICS,2020-07-24,17
OFFENSE INVOLVING CHILDREN,2020-07-24,3
OTHER OFFENSE,2020-07-24,41
PUBLIC PEACE VIOLATION,2020-07-24,3
ROBBERY,2020-07-24,26
SEX OFFENSE,2020-07-24,4
STALKING,2020-07-24,2
THEFT,2020-07-24,117
WEAPONS VIOLATION,2020-07-24,22
ARSON,2020-07-25,3
ASSAULT,2020-07-25,60
BATTERY,2020-07-25,136
BURGLARY,2020-07-25,26
CRIMINAL DAMAGE,2020-07-25,91
CRIMINAL SEXUAL ASSAULT,2020-07-25,6
CRIMINAL TRESPASS,2020-07-25,15
DECEPTIVE PRACTICE,2020-07-25,28
HOMICIDE,2020-07-25,1
INTERFERENCE WITH PUBLIC OFFICER,2020-07-25,1
MOTOR VEHICLE THEFT,2020-07-25,24
NARCOTICS,2020-07-25,15
OFFENSE INVOLVING CHILDREN,2020-07-25,5
OTHER OFFENSE,2020-07-25,33
PUBLIC PEACE VIOLATION,2020-07-25,4
ROBBERY,2020-07-25,27
SEX OFFENSE,2020-07-25,2
STALKING,2020-07-25,1
THEFT,2020-07-25,127
WEAPONS VIOLATION,2020-07-25,34
ASSAULT,2020-07-26,62
BATTERY,2020-07-26,183
BURGLARY,2020-07-26,22
CRIMINAL DAMAGE,2020-07-26,81
CRIMINAL SEXUAL ASSAULT,2020-07-26,5
CRIMINAL TRESPASS,2020-07-26,7
DECEPTIVE PRACTICE,2020-07-26,20
HOMICIDE,2020-07-26,2
INTERFERENCE WITH PUBLIC OFFICER,2020-07-26,1
MOTOR VEHICLE THEFT,2020-07-26,35
NARCOTICS,2020-07-26,16
OFFENSE INVOLVING CHILDREN,2020-07-26,3
OTHER OFFENSE,2020-07-26,34
ROBBERY,2020-07-26,28
SEX OFFENSE,2020-07-26,2
THEFT,2020-07-26,105
WEAPONS VIOLATION,2020-07-26,32
ARSON,2020-07-27,2
ASSAULT,2020-07-27,69
BATTERY,2020-07-27,132
BURGLARY,2020-07-27,28
CONCEALED CARRY LICENSE VIOLATION,2020-07-27,2
CRIMINAL DAMAGE,2020-07-27,67
CRIMINAL SEXUAL ASSAULT,2020-07-27,1
CRIMINAL TRESPASS,2020-07-27,11
DECEPTIVE PRACTICE,2020-07-27,37
HOMICIDE,2020-07-27,2
INTERFERENCE WITH PUBLIC OFFICER,2020-07-27,2
MOTOR VEHICLE THEFT,2020-07-27,38
NARCOTICS,2020-07-27,10
OFFENSE INVOLVING CHILDREN,2020-07-27,5
OTHER OFFENSE,2020-07-27,37
PUBLIC PEACE VIOLATION,2020-07-27,4
ROBBERY,2020-07-27,26
SEX OFFENSE,2020-07-27,3
STALKING,2020-07-27,1
THEFT,2020-07-27,111
WEAPONS VIOLATION,2020-07-27,24
ARSON,2020-07-28,4
ASSAULT,2020-07-28,61
BATTERY,2020-07-28,116
BURGLARY,2020-07-28,19
CRIMINAL DAMAGE,2020-07-28,75
CRIMINAL SEXUAL ASSAULT,2020-07-28,4
CRIMINAL TRESPASS,2020-07-28,14
DECEPTIVE PRACTICE,2020-07-28,32
HOMICIDE,2020-07-28,3
INTERFERENCE WITH PUBLIC OFFICER,2020-07-28,2
MOTOR VEHICLE THEFT,2020-07-28,32
NARCOTICS,2020-07-28,12
OFFENSE INVOLVING CHILDREN,2020-07-28,2
OTHER OFFENSE,2020-07-28,49
PUBLIC PEACE VIOLATION,2020-07-28,1
ROBBERY,2020-07-28,28
SEX OFFENSE,2020-07-28,3
STALKING,2020-07-28,2
THEFT,2020-07-28,126
WEAPONS VIOLATION,2020-07-28,30
ASSAULT,2020-07-29,66
BATTERY,2020-07-29,123
BURGLARY,2020-07-29,24
CRIMINAL DAMAGE,2020-07-29,79
CRIMINAL SEXUAL ASSAULT,2020-07-29,3
CRIMINAL TRESPASS,2020-07-29,9
DECEPTIVE PRACTICE,2020-07-29,31
HOMICIDE,2020-07-29,2
INTIMIDATION,2020-07-29,1
KIDNAPPING,2020-07-29,1
LIQUOR LAW VIOLATION,2020-07-29,1
MOTOR VEHICLE THEFT,2020-07-29,26
NARCOTICS,2020-07-29,23
OBSCENITY,2020-07-29,1
OFFENSE INVOLVING CHILDREN,2020-07-29,4
OTHER OFFENSE,2020-07-29,40
PROSTITUTION,2020-07-29,9
PUBLIC PEACE VIOLATION,2020-07-29,2
ROBBERY,2020-07-29,29
SEX OFFENSE,2020-07-29,1
THEFT,2020-07-29,118
WEAPONS VIOLATION,2020-07-29,19
ARSON,2020-07-30,6
ASSAULT,2020-07-30,66
BATTERY,2020-07-30,101
BURGLARY,2020-07-30,24
CRIMINAL DAMAGE,2020-07-30,73
CRIMINAL SEXUAL ASSAULT,2020-07-30,1
CRIMINAL TRESPASS,2020-07-30,12
DECEPTIVE PRACTICE,2020-07-30,38
INTERFERENCE WITH PUBLIC OFFICER,2020-07-30,2
LIQUOR LAW VIOLATION,2020-07-30,1
MOTOR VEHICLE THEFT,2020-07-30,29
NARCOTICS,2020-07-30,27
OFFENSE INVOLVING CHILDREN,2020-07-30,6
OTHER OFFENSE,2020-07-30,41
ROBBERY,2020-07-30,29
SEX OFFENSE,2020-07-30,5
THEFT,2020-07-30,116
WEAPONS VIOLATION,2020-07-30,18
ARSON,2020-07-31,4
ASSAULT,2020-07-31,51
BATTERY,2020-07-31,116
BURGLARY,2020-07-31,22
CONCEALED CARRY LICENSE VIOLATION,2020-07-31,2
CRIMINAL DAMAGE,2020-07-31,71
CRIMINAL SEXUAL ASSAULT,2020-07-31,5
CRIMINAL TRESPASS,2020-07-31,13
DECEPTIVE PRACTICE,2020-07-31,41
HOMICIDE,2020-07-31,1
INTERFERENCE WITH PUBLIC OFFICER,2020-07-31,3
LIQUOR LAW VIOLATION,2020-07-31,4
MOTOR VEHICLE THEFT,2020-07-31,38
NARCOTICS,2020-07-31,21
OFFENSE INVOLVING CHILDREN,2020-07-31,3
OTHER OFFENSE,2020-07-31,45
PUBLIC PEACE VIOLATION,2020-07-31,5
ROBBERY,2020-07-31,25
SEX OFFENSE,2020-07-31,4
STALKING,2020-07-31,1
THEFT,2020-07-31,123
WEAPONS VIOLATION,2020-07-31,22
ARSON,2020-08-01,2
ASSAULT,2020-08-01,70
BATTERY,2020-08-01,121
BURGLARY,2020-08-01,24
CRIMINAL DAMAGE,2020-08-01,79
CRIMINAL SEXUAL ASSAULT,2020-08-01,6
CRIMINAL TRESPASS,2020-08-01,14
DECEPTIVE PRACTICE,2020-08-01,53
HOMICIDE,2020-08-01,5
INTERFERENCE WITH PUBLIC OFFICER,2020-08-01,1
INTIMIDATION,2020-08-01,1
LIQUOR LAW VIOLATION,2020-08-01,3
MOTOR VEHICLE THEFT,2020-08-01,30
NARCOTICS,2020-08-01,18
OFFENSE INVOLVING CHILDREN,2020-08-01,10
OTHER OFFENSE,2020-08-01,45
PUBLIC PEACE VIOLATION,2020-08-01,2
ROBBERY,2020-08-01,21
SEX OFFENSE,2020-08-01,5
THEFT,2020-08-01,117
WEAPONS VIOLATION,2020-08-01,27
ASSAULT,2020-08-02,58
BATTERY,2020-08-02,103
BURGLARY,2020-08-02,18
CONCEALED CARRY LICENSE VIOLATION,2020-08-02,1
CRIMINAL DAMAGE,2020-08-02,92
CRIMINAL SEXUAL ASSAULT,2020-08-02,4
CRIMINAL TRESPASS,2020-08-02,8
DECEPTIVE PRACTICE,2020-08-02,22
HOMICIDE,2020-08-02,3
INTERFERENCE WITH PUBLIC OFFICER,2020-08-02,2
KIDNAPPING,2020-08-02,1
MOTOR VEHICLE THEFT,2020-08-02,42
NARCOTICS,2020-08-02,16
OFFENSE INVOLVING CHILDREN,2020-08-02,6
OTHER OFFENSE,2020-08-02,32
ROBBERY,2020-08-02,26
SEX OFFENSE,2020-08-02,3
STALKING,2020-08-02,1
THEFT,2020-08-02,96
WEAPONS VIOLATION,2020-08-02,28
ASSAULT,2020-08-03,48
BATTERY,2020-08-03,111
BURGLARY,2020-08-03,17
CRIMINAL DAMAGE,2020-08-03,80
CRIMINAL SEXUAL ASSAULT,2020-08-03,3
CRIMINAL TRESPASS,2020-08-03,6
DECEPTIVE PRACTICE,2020-08-03,44
INTERFERENCE WITH PUBLIC OFFICER,2020-08-03,1
KIDNAPPING,2020-08-03,1
MOTOR VEHICLE THEFT,2020-08-03,36
NARCOTICS,2020-08-03,12
OBSCENITY,2020-08-03,1
OFFENSE INVOLVING CHILDREN,2020-08-03,2
OTHER OFFENSE,2020-08-03,38
PUBLIC PEACE VIOLATION,2020-08-03,2
ROBBERY,2020-08-03,36
SEX OFFENSE,2020-08-03,4
THEFT,2020-08-03,133
WEAPONS VIOLATION,2020-08-03,19
ARSON,2020-08-04,1
ASSAULT,2020-08-04,60
BATTERY,2020-08-04,103
BURGLARY,2020-08-04,27
CRIMINAL DAMAGE,2020-08-04,63
CRIMINAL TRESPASS,2020-08-04,16
DECEPTIVE PRACTICE,2020-08-04,29
HOMICIDE,2020-08-04,1
INTIMIDATION,2020-08-04,3
KIDNAPPING,2020-08-04,1
LIQUOR LAW VIOLATION,2020-08-04,1
MOTOR VEHICLE THEFT,2020-08-04,23
NARCOTICS,2020-08-04,18
OFFENSE INVOLVING CHILDREN,2020-08-04,4
OTHER OFFENSE,2020-08-04,21
PUBLIC PEACE VIOLATION,2020-08-04,3
ROBBERY,2020-08-04,27
SEX OFFENSE,2020-08-04,3
THEFT,2020-08-04,107
WEAPONS VIOLATION,2020-08-04,23
ARSON,2020-08-05,2
ASSAULT,2020-08-05,53
BATTERY,2020-08-05,129
BURGLARY,2020-08-05,21
CONCEALED CARRY LICENSE VIOLATION,2020-08-05,2
CRIMINAL DAMAGE,2020-08-05,64
CRIMINAL SEXUAL ASSAULT,2020-08-05,3
CRIMINAL TRESPASS,2020-08-05,7
DECEPTIVE PRACTICE,2020-08-05,27
INTERFERENCE WITH PUBLIC OFFICER,2020-08-05,2
MOTOR VEHICLE THEFT,2020-08-05,29
NARCOTICS,2020-08-05,27
OFFENSE INVOLVING CHILDREN,2020-08-05,3
OTHER OFFENSE,2020-08-05,25
PROSTITUTION,2020-08-05,7
PUBLIC PEACE VIOLATION,2020-08-05,1
ROBBERY,2020-08-05,21
SEX OFFENSE,2020-08-05,2
STALKING,2020-08-05,2
THEFT,2020-08-05,114
WEAPONS VIOLATION,2020-08-05,27
ARSON,2020-08-06,1
ASSAULT,2020-08-06,55
BATTERY,2020-08-06,104
BURGLARY,2020-08-06,27
CONCEALED CARRY LICENSE VIOLATION,2020-08-06,1
CRIMINAL DAMAGE,2020-08-06,69
CRIMINAL SEXUAL ASSAULT,2020-08-06,1
CRIMINAL TRESPASS,2020-08-06,10
DECEPTIVE PRACTICE,2020-08-06,41
HOMICIDE,2020-08-06,2
INTIMIDATION,2020-08-06,2
MOTOR VEHICLE THEFT,2020-08-06,37
NARCOTICS,2020-08-06,28
NON-CRIMINAL,2020-08-06,1
OFFENSE INVOLVING CHILDREN,2020-08-06,1
OTHER OFFENSE,2020-08-06,34
PUBLIC INDECENCY,2020-08-06,1
PUBLIC PEACE VIOLATION,2020-08-06,4
ROBBERY,2020-08-06,22
SEX OFFENSE,2020-08-06,3
THEFT,2020-08-06,128
WEAPONS VIOLATION,2020-08-06,23
ASSAULT,2020-08-07,72
BATTERY,2020-08-07,122
BURGLARY,2020-08-07,26
CRIMINAL DAMAGE,2020-08-07,70
CRIMINAL SEXUAL ASSAULT,2020-08-07,4
CRIMINAL TRESPASS,2020-08-07,11
DECEPTIVE PRACTICE,2020-08-07,34
HOMICIDE,2020-08-07,3
INTERFERENCE WITH PUBLIC OFFICER,2020-08-07,2
LIQUOR LAW VIOLATION,2020-08-07,1
MOTOR VEHICLE THEFT,2020-08-07,20
NARCOTICS,2020-08-07,24
OFFENSE INVOLVING CHILDREN,2020-08-07,3
OTHER OFFENSE,2020-08-07,25
PUBLIC PEACE VIOLATION,2020-08-07,5
ROBBERY,2020-08-07,13
SEX OFFENSE,2020-08-07,2
STALKING,2020-08-07,2
THEFT,2020-08-07,117
WEAPONS VIOLATION,2020-08-07,32
ARSON,2020-08-08,2
ASSAULT,2020-08-08,50
BATTERY,2020-08-08,159
BURGLARY,2020-08-08,31
CRIMINAL DAMAGE,2020-08-08,63
CRIMINAL SEXUAL ASSAULT,2020-08-08,4
CRIMINAL TRESPASS,2020-08-08,9
DECEPTIVE PRACTICE,2020-08-08,19
HOMICIDE,2020-08-08,2
INTIMIDATION,2020-08-08,1
LIQUOR LAW VIOLATION,2020-08-08,3
MOTOR VEHICLE THEFT,2020-08-08,42
NARCOTICS,2020-08-08,13
OFFENSE INVOLVING CHILDREN,2020-08-08,1
OTHER OFFENSE,2020-08-08,41
ROBBERY,2020-08-08,31
SEX OFFENSE,2020-08-08,4
STALKING,2020-08-08,1
THEFT,2020-08-08,132
WEAPONS VIOLATION,2020-08-08,53
ASSAULT,2020-08-09,60
BATTERY,2020-08-09,177
BURGLARY,2020-08-09,39
CONCEALED CARRY LICENSE VIOLATION,2020-08-09,1
CRIMINAL DAMAGE,2020-08-09,84
CRIMINAL SEXUAL ASSAULT,2020-08-09,2
CRIMINAL TRESPASS,2020-08-09,14
DECEPTIVE PRACTICE,2020-08-09,22
HOMICIDE,2020-08-09,3
INTERFERENCE WITH PUBLIC OFFICER,2020-08-09,2
INTIMIDATION,2020-08-09,1
KIDNAPPING,2020-08-09,1
MOTOR VEHICLE THEFT,2020-08-09,28
NARCOTICS,2020-08-09,13
OFFENSE INVOLVING CHILDREN,2020-08-09,4
OTHER OFFENSE,2020-08-09,28
PUBLIC PEACE VIOLATION,2020-08-09,2
ROBBERY,2020-08-09,29
SEX OFFENSE,2020-08-09,4
THEFT,2020-08-09,97
WEAPONS VIOLATION,2020-08-09,38
ARSON,2020-08-10,1
ASSAULT,2020-08-10,53
BATTERY,2020-08-10,121
BURGLARY,2020-08-10,315
CRIMINAL DAMAGE,2020-08-10,111
CRIMINAL SEXUAL ASSAULT,2020-08-10,5
CRIMINAL TRESPASS,2020-08-10,4
DECEPTIVE PRACTICE,2020-08-10,37
HOMICIDE,2020-08-10,2
INTIMIDATION,2020-08-10,1
KIDNAPPING,2020-08-10,1
MOTOR VEHICLE THEFT,2020-08-10,38
NARCOTICS,2020-08-10,8
OFFENSE INVOLVING CHILDREN,2020-08-10,1
OTHER OFFENSE,2020-08-10,33
PUBLIC PEACE VIOLATION,2020-08-10,13
ROBBERY,2020-08-10,43
SEX OFFENSE,2020-08-10,3
THEFT,2020-08-10,118
WEAPONS VIOLATION,2020-08-10,26
ARSON,2020-08-11,1
ASSAULT,2020-08-11,57
BATTERY,2020-08-11,114
BURGLARY,2020-08-11,32
CRIMINAL DAMAGE,2020-08-11,57
CRIMINAL SEXUAL ASSAULT,2020-08-11,2
CRIMINAL TRESPASS,2020-08-11,7
DECEPTIVE PRACTICE,2020-08-11,31
HOMICIDE,2020-08-11,1
INTERFERENCE WITH PUBLIC OFFICER,2020-08-11,2
INTIMIDATION,2020-08-11,2
MOTOR VEHICLE THEFT,2020-08-11,38
NARCOTICS,2020-08-11,15
OFFENSE INVOLVING CHILDREN,2020-08-11,3
OTHER OFFENSE,2020-08-11,43
PUBLIC PEACE VIOLATION,2020-08-11,2
ROBBERY,2020-08-11,33
SEX OFFENSE,2020-08-11,4
STALKING,2020-08-11,2
THEFT,2020-08-11,116
WEAPONS VIOLATION,2020-08-11,25
ARSON,2020-08-12,2
ASSAULT,2020-08-12,64
BATTERY,2020-08-12,115
BURGLARY,2020-08-12,27
CONCEALED CARRY LICENSE VIOLATION,2020-08-12,1
CRIMINAL DAMAGE,2020-08-12,65
CRIMINAL SEXUAL ASSAULT,2020-08-12,5
CRIMINAL TRESPASS,2020-08-12,8
DECEPTIVE PRACTICE,2020-08-12,33
GAMBLING,2020-08-12,2
INTERFERENCE WITH PUBLIC OFFICER,2020-08-12,2
INTIMIDATION,2020-08-12,1
MOTOR VEHICLE THEFT,2020-08-12,24
NARCOTICS,2020-08-12,22
OFFENSE INVOLVING CHILDREN,2020-08-12,7
OTHER OFFENSE,2020-08-12,30
PUBLIC PEACE VIOLATION,2020-08-12,5
ROBBERY,2020-08-12,29
SEX OFFENSE,2020-08-12,5
STALKING,2020-08-12,1
THEFT,2020-08-12,113
WEAPONS VIOLATION,2020-08-12,35
ASSAULT,2020-08-13,58
BATTERY,2020-08-13,127
BURGLARY,2020-08-13,25
CRIMINAL DAMAGE,2020-08-13,75
CRIMINAL SEXUAL ASSAULT,2020-08-13,5
CRIMINAL TRESPASS,2020-08-13,9
DECEPTIVE PRACTICE,2020-08-13,34
HOMICIDE,2020-08-13,2
INTERFERENCE WITH PUBLIC OFFICER,2020-08-13,4
LIQUOR LAW VIOLATION,2020-08-13,3
MOTOR VEHICLE THEFT,2020-08-13,35
NARCOTICS,2020-08-13,32
OFFENSE INVOLVING CHILDREN,2020-08-13,3
OTHER OFFENSE,2020-08-13,34
PUBLIC PEACE VIOLATION,2020-08-13,1
ROBBERY,2020-08-13,28
SEX OFFENSE,2020-08-13,2
STALKING,2020-08-13,3
THEFT,2020-08-13,118
WEAPONS VIOLATION,2020-08-13,35
ARSON,2020-08-14,2
ASSAULT,2020-08-14,70
BATTERY,2020-08-14,123
BURGLARY,2020-08-14,24
CRIMINAL DAMAGE,2020-08-14,54
CRIMINAL SEXUAL ASSAULT,2020-08-14,7
CRIMINAL TRESPASS,2020-08-14,7
DECEPTIVE PRACTICE,2020-08-14,31
HOMICIDE,2020-08-14,4
INTIMIDATION,2020-08-14,1
KIDNAPPING,2020-08-14,1
LIQUOR LAW VIOLATION,2020-08-14,2
MOTOR VEHICLE THEFT,2020-08-14,39
NARCOTICS,2020-08-14,29
OFFENSE INVOLVING CHILDREN,2020-08-14,6
OTHER OFFENSE,2020-08-14,33
PUBLIC PEACE VIOLATION,2020-08-14,4
ROBBERY,2020-08-14,25
SEX OFFENSE,2020-08-14,1
STALKING,2020-08-14,2
THEFT,2020-08-14,128
WEAPONS VIOLATION,2020-08-14,40
ARSON,2020-08-15,2
ASSAULT,2020-08-15,58
BATTERY,2020-08-15,154
BURGLARY,2020-08-15,25
CRIMINAL DAMAGE,2020-08-15,73
CRIMINAL SEXUAL ASSAULT,2020-08-15,1
CRIMINAL TRESPASS,2020-08-15,4
DECEPTIVE PRACTICE,2020-08-15,28
HOMICIDE,2020-08-15,1
INTERFERENCE WITH PUBLIC OFFICER,2020-08-15,4
LIQUOR LAW VIOLATION,2020-08-15,1
MOTOR VEHICLE THEFT,2020-08-15,34
NARCOTICS,2020-08-15,9
OFFENSE INVOLVING CHILDREN,2020-08-15,3
OTHER OFFENSE,2020-08-15,34
PUBLIC PEACE VIOLATION,2020-08-15,5
ROBBERY,2020-08-15,20
SEX OFFENSE,2020-08-15,4
STALKING,2020-08-15,1
THEFT,2020-08-15,117
WEAPONS VIOLATION,2020-08-15,45
ARSON,2020-08-16,1
ASSAULT,2020-08-16,59
BATTERY,2020-08-16,183
BURGLARY,2020-08-16,15
CRIMINAL DAMAGE,2020-08-16,80
CRIMINAL SEXUAL ASSAULT,2020-08-16,3
CRIMINAL TRESPASS,2020-08-16,13
DECEPTIVE PRACTICE,2020-08-16,24
HOMICIDE,2020-08-16,2
INTERFERENCE WITH PUBLIC OFFICER,2020-08-16,1
LIQUOR LAW VIOLATION,2020-08-16,3
MOTOR VEHICLE THEFT,2020-08-16,26
NARCOTICS,2020-08-16,12
OFFENSE INVOLVING CHILDREN,2020-08-16,4
OTHER OFFENSE,2020-08-16,40
PUBLIC PEACE VIOLATION,2020-08-16,6
ROBBERY,2020-08-16,20
STALKING,2020-08-16,1
THEFT,2020-08-16,128
WEAPONS VIOLATION,2020-08-16,42
ARSON,2020-08-17,1
ASSAULT,2020-08-17,54
BATTERY,2020-08-17,126
BURGLARY,2020-08-17,20
CRIMINAL DAMAGE,2020-08-17,87
CRIMINAL SEXUAL ASSAULT,2020-08-17,6
CRIMINAL TRESPASS,2020-08-17,11
DECEPTIVE PRACTICE,2020-08-17,46
HOMICIDE,2020-08-17,1
KIDNAPPING,2020-08-17,1
MOTOR VEHICLE THEFT,2020-08-17,42
NARCOTICS,2020-08-17,18
OFFENSE INVOLVING CHILDREN,2020-08-17,2
OTHER OFFENSE,2020-08-17,30
PUBLIC PEACE VIOLATION,2020-08-17,3
ROBBERY,2020-08-17,26
SEX OFFENSE,2020-08-17,2
THEFT,2020-08-17,137
WEAPONS VIOLATION,2020-08-17,24
ARSON,2020-08-18,5
ASSAULT,2020-08-18,61
BATTERY,2020-08-18,130
BURGLARY,2020-08-18,21
CRIMINAL DAMAGE,2020-08-18,78
CRIMINAL SEXUAL ASSAULT,2020-08-18,1
CRIMINAL TRESPASS,2020-08-18,13
DECEPTIVE PRACTICE,2020-08-18,43
HOMICIDE,2020-08-18,3
LIQUOR LAW VIOLATION,2020-08-18,1
MOTOR VEHICLE THEFT,2020-08-18,31
NARCOTICS,2020-08-18,16
OFFENSE INVOLVING CHILDREN,2020-08-18,4
OTHER OFFENSE,2020-08-18,31
PUBLIC PEACE VIOLATION,2020-08-18,1
ROBBERY,2020-08-18,26
SEX OFFENSE,2020-08-18,3
THEFT,2020-08-18,121
WEAPONS VIOLATION,2020-08-18,19
ARSON,2020-08-19,5
ASSAULT,2020-08-19,64
