, PRIMARY DESCRIPTION,Date,Counts,Cases - Total
1625,OFFENSE INVOLVING CHILDREN,2020-05-25,9,252
1626,OTHER OFFENSE,2020-05-25,34,252
1627,PUBLIC PEACE VIOLATION,2020-05-25,2,252
1628,ROBBERY,2020-05-25,19,252
1629,SEX OFFENSE,2020-05-25,2,252
1630,STALKING,2020-05-25,1,252
1631,THEFT,2020-05-25,89,252
1632,WEAPONS VIOLATION,2020-05-25,58,252
1633,ARSON,2020-05-26,2,755
1634,ASSAULT,2020-05-26,63,755
1635,BATTERY,2020-05-26,151,755
1636,BURGLARY,2020-05-26,9,755
1637,CONCEALED CARRY LICENSE VIOLATION,2020-05-26,1,755
1638,CRIMINAL DAMAGE,2020-05-26,70,755
1639,CRIMINAL SEXUAL ASSAULT,2020-05-26,2,755
1640,CRIMINAL TRESPASS,2020-05-26,12,755
1641,DECEPTIVE PRACTICE,2020-05-26,29,755
1642,HOMICIDE,2020-05-26,3,755
1643,INTERFERENCE WITH PUBLIC OFFICER,2020-05-26,5,755
1644,KIDNAPPING,2020-05-26,1,755
1645,MOTOR VEHICLE THEFT,2020-05-26,30,755
1646,NARCOTICS,2020-05-26,27,755
1647,OFFENSE INVOLVING CHILDREN,2020-05-26,4,755
1648,OTHER OFFENSE,2020-05-26,26,755
1649,PUBLIC PEACE VIOLATION,2020-05-26,3,755
1650,ROBBERY,2020-05-26,19,755
1651,SEX OFFENSE,2020-05-26,5,755
1652,THEFT,2020-05-26,85,755
1653,WEAPONS VIOLATION,2020-05-26,26,755
1654,ARSON,2020-05-27,2,611
1655,ASSAULT,2020-05-27,57,611
1656,BATTERY,2020-05-27,121,611
1657,BURGLARY,2020-05-27,17,611
1658,CRIMINAL DAMAGE,2020-05-27,66,611
1659,CRIMINAL SEXUAL ASSAULT,2020-05-27,2,611
1660,CRIMINAL TRESPASS,2020-05-27,16,611
1661,DECEPTIVE PRACTICE,2020-05-27,25,611
1662,HOMICIDE,2020-05-27,2,611
1663,INTERFERENCE WITH PUBLIC OFFICER,2020-05-27,1,611
1664,MOTOR VEHICLE THEFT,2020-05-27,23,611
1665,NARCOTICS,2020-05-27,30,611
1666,OFFENSE INVOLVING CHILDREN,2020-05-27,4,611
1667,OTHER OFFENSE,2020-05-27,40,611
1668,PUBLIC PEACE VIOLATION,2020-05-27,3,611
1669,ROBBERY,2020-05-27,28,611
1670,SEX OFFENSE,2020-05-27,2,611
1671,STALKING,2020-05-27,1,611
1672,THEFT,2020-05-27,98,611
1673,WEAPONS VIOLATION,2020-05-27,25,611
1674,ARSON,2020-05-28,1,521
1675,ASSAULT,2020-05-28,71,521
1676,BATTERY,2020-05-28,135,521
1677,BURGLARY,2020-05-28,18,521
1678,CONCEALED CARRY LICENSE VIOLATION,2020-05-28,1,521
1679,CRIMINAL DAMAGE,2020-05-28,63,521
1680,CRIMINAL SEXUAL ASSAULT,2020-05-28,3,521
1681,CRIMINAL TRESPASS,2020-05-28,10,521
1682,DECEPTIVE PRACTICE,2020-05-28,23,521
1683,HOMICIDE,2020-05-28,1,521
1684,INTERFERENCE WITH PUBLIC OFFICER,2020-05-28,1,521
1685,KIDNAPPING,2020-05-28,2,521
1686,MOTOR VEHICLE THEFT,2020-05-28,21,521
1687,NARCOTICS,2020-05-28,19,521
1688,OFFENSE INVOLVING CHILDREN,2020-05-28,2,521
1689,OTHER OFFENSE,2020-05-28,23,521
1690,PUBLIC PEACE VIOLATION,2020-05-28,4,521
1691,ROBBERY,2020-05-28,21,521
1692,SEX OFFENSE,2020-05-28,4,521
1693,THEFT,2020-05-28,101,521
1694,WEAPONS VIOLATION,2020-05-28,23,521
1695,ARSON,2020-05-29,2,460
1696,ASSAULT,2020-05-29,46,460
1697,BATTERY,2020-05-29,121,460
1698,BURGLARY,2020-05-29,31,460
1699,CRIMINAL DAMAGE,2020-05-29,86,460
