, PRIMARY DESCRIPTION,Date,Counts,Cases - Total
3041,CRIMINAL DAMAGE,2020-08-02,92,95
3042,CRIMINAL SEXUAL ASSAULT,2020-08-02,4,95
3043,CRIMINAL TRESPASS,2020-08-02,8,95
3044,DECEPTIVE PRACTICE,2020-08-02,22,95
3045,HOMICIDE,2020-08-02,3,95
3046,INTERFERENCE WITH PUBLIC OFFICER,2020-08-02,2,95
3047,KIDNAPPING,2020-08-02,1,95
3048,MOTOR VEHICLE THEFT,2020-08-02,42,95
3049,NARCOTICS,2020-08-02,16,95
3050,OFFENSE INVOLVING CHILDREN,2020-08-02,6,95
3051,OTHER OFFENSE,2020-08-02,32,95
3052,ROBBERY,2020-08-02,26,95
3053,SEX OFFENSE,2020-08-02,3,95
3054,STALKING,2020-08-02,1,95
3055,THEFT,2020-08-02,96,95
3056,WEAPONS VIOLATION,2020-08-02,28,95
3057,ASSAULT,2020-08-03,48,427
3058,BATTERY,2020-08-03,111,427
3059,BURGLARY,2020-08-03,17,427
3060,CRIMINAL DAMAGE,2020-08-03,80,427
3061,CRIMINAL SEXUAL ASSAULT,2020-08-03,3,427
3062,CRIMINAL TRESPASS,2020-08-03,6,427
3063,DECEPTIVE PRACTICE,2020-08-03,44,427
3064,INTERFERENCE WITH PUBLIC OFFICER,2020-08-03,1,427
3065,KIDNAPPING,2020-08-03,1,427
3066,MOTOR VEHICLE THEFT,2020-08-03,36,427
3067,NARCOTICS,2020-08-03,12,427
3068,OBSCENITY,2020-08-03,1,427
3069,OFFENSE INVOLVING CHILDREN,2020-08-03,2,427
3070,OTHER OFFENSE,2020-08-03,38,427
3071,PUBLIC PEACE VIOLATION,2020-08-03,2,427
3072,ROBBERY,2020-08-03,36,427
3073,SEX OFFENSE,2020-08-03,4,427
3074,THEFT,2020-08-03,133,427
3075,WEAPONS VIOLATION,2020-08-03,19,427
3076,ARSON,2020-08-04,1,362
3077,ASSAULT,2020-08-04,60,362
3078,BATTERY,2020-08-04,103,362
3079,BURGLARY,2020-08-04,27,362
3080,CRIMINAL DAMAGE,2020-08-04,63,362
3081,CRIMINAL TRESPASS,2020-08-04,16,362
3082,DECEPTIVE PRACTICE,2020-08-04,29,362
3083,HOMICIDE,2020-08-04,1,362
3084,INTIMIDATION,2020-08-04,3,362
3085,KIDNAPPING,2020-08-04,1,362
3086,LIQUOR LAW VIOLATION,2020-08-04,1,362
3087,MOTOR VEHICLE THEFT,2020-08-04,23,362
3088,NARCOTICS,2020-08-04,18,362
3089,OFFENSE INVOLVING CHILDREN,2020-08-04,4,362
3090,OTHER OFFENSE,2020-08-04,21,362
3091,PUBLIC PEACE VIOLATION,2020-08-04,3,362
3092,ROBBERY,2020-08-04,27,362
3093,SEX OFFENSE,2020-08-04,3,362
3094,THEFT,2020-08-04,107,362
3095,WEAPONS VIOLATION,2020-08-04,23,362
3096,ARSON,2020-08-05,2,377
3097,ASSAULT,2020-08-05,53,377
3098,BATTERY,2020-08-05,129,377
3099,BURGLARY,2020-08-05,21,377
3100,CONCEALED CARRY LICENSE VIOLATION,2020-08-05,2,377
3101,CRIMINAL DAMAGE,2020-08-05,64,377
3102,CRIMINAL SEXUAL ASSAULT,2020-08-05,3,377
3103,CRIMINAL TRESPASS,2020-08-05,7,377
3104,DECEPTIVE PRACTICE,2020-08-05,27,377
3105,INTERFERENCE WITH PUBLIC OFFICER,2020-08-05,2,377
3106,MOTOR VEHICLE THEFT,2020-08-05,29,377
3107,NARCOTICS,2020-08-05,27,377
3108,OFFENSE INVOLVING CHILDREN,2020-08-05,3,377
3109,OTHER OFFENSE,2020-08-05,25,377
3110,PROSTITUTION,2020-08-05,7,377
3111,PUBLIC PEACE VIOLATION,2020-08-05,1,377
3112,ROBBERY,2020-08-05,21,377
3113,SEX OFFENSE,2020-08-05,2,377
3114,STALKING,2020-08-05,2,377
3115,THEFT,2020-08-05,114,377
3116,WEAPONS VIOLATION,2020-08-05,27,377
3117,ARSON,2020-08-06,1,347
3118,ASSAULT,2020-08-06,55,347
3119,BATTERY,2020-08-06,104,347
3120,BURGLARY,2020-08-06,27,347
3121,CONCEALED CARRY LICENSE VIOLATION,2020-08-06,1,347
3122,CRIMINAL DAMAGE,2020-08-06,69,347
3123,CRIMINAL SEXUAL ASSAULT,2020-08-06,1,347
3124,CRIMINAL TRESPASS,2020-08-06,10,347
3125,DECEPTIVE PRACTICE,2020-08-06,41,347
3126,HOMICIDE,2020-08-06,2,347
3127,INTIMIDATION,2020-08-06,2,347
3128,MOTOR VEHICLE THEFT,2020-08-06,37,347
3129,NARCOTICS,2020-08-06,28,347
3130,NON-CRIMINAL,2020-08-06,1,347
3131,OFFENSE INVOLVING CHILDREN,2020-08-06,1,347
3132,OTHER OFFENSE,2020-08-06,34,347
3133,PUBLIC INDECENCY,2020-08-06,1,347
3134,PUBLIC PEACE VIOLATION,2020-08-06,4,347
3135,ROBBERY,2020-08-06,22,347
3136,SEX OFFENSE,2020-08-06,3,347
3137,THEFT,2020-08-06,128,347
3138,WEAPONS VIOLATION,2020-08-06,23,347
3139,ASSAULT,2020-08-07,72,417
3140,BATTERY,2020-08-07,122,417
3141,BURGLARY,2020-08-07,26,417
3142,CRIMINAL DAMAGE,2020-08-07,70,417
3143,CRIMINAL SEXUAL ASSAULT,2020-08-07,4,417
3144,CRIMINAL TRESPASS,2020-08-07,11,417
3145,DECEPTIVE PRACTICE,2020-08-07,34,417
3146,HOMICIDE,2020-08-07,3,417
3147,INTERFERENCE WITH PUBLIC OFFICER,2020-08-07,2,417
3148,LIQUOR LAW VIOLATION,2020-08-07,1,417
3149,MOTOR VEHICLE THEFT,2020-08-07,20,417
3150,NARCOTICS,2020-08-07,24,417
3151,OFFENSE INVOLVING CHILDREN,2020-08-07,3,417
3152,OTHER OFFENSE,2020-08-07,25,417
3153,PUBLIC PEACE VIOLATION,2020-08-07,5,417
3154,ROBBERY,2020-08-07,13,417
3155,SEX OFFENSE,2020-08-07,2,417
3156,STALKING,2020-08-07,2,417
3157,THEFT,2020-08-07,117,417
3158,WEAPONS VIOLATION,2020-08-07,32,417
3159,ARSON,2020-08-08,2,177
3160,ASSAULT,2020-08-08,50,177
3161,BATTERY,2020-08-08,159,177
3162,BURGLARY,2020-08-08,31,177
3163,CRIMINAL DAMAGE,2020-08-08,63,177
3164,CRIMINAL SEXUAL ASSAULT,2020-08-08,4,177
3165,CRIMINAL TRESPASS,2020-08-08,9,177
3166,DECEPTIVE PRACTICE,2020-08-08,19,177
3167,HOMICIDE,2020-08-08,2,177
3168,INTIMIDATION,2020-08-08,1,177
3169,LIQUOR LAW VIOLATION,2020-08-08,3,177
3170,MOTOR VEHICLE THEFT,2020-08-08,42,177
3171,NARCOTICS,2020-08-08,13,177
3172,OFFENSE INVOLVING CHILDREN,2020-08-08,1,177
3173,OTHER OFFENSE,2020-08-08,41,177
3174,ROBBERY,2020-08-08,31,177
3175,SEX OFFENSE,2020-08-08,4,177
3176,STALKING,2020-08-08,1,177
3177,THEFT,2020-08-08,132,177
3178,WEAPONS VIOLATION,2020-08-08,53,177
3179,ASSAULT,2020-08-09,60,115
3180,BATTERY,2020-08-09,177,115
3181,BURGLARY,2020-08-09,39,115
3182,CONCEALED CARRY LICENSE VIOLATION,2020-08-09,1,115
3183,CRIMINAL DAMAGE,2020-08-09,84,115
3184,CRIMINAL SEXUAL ASSAULT,2020-08-09,2,115
3185,CRIMINAL TRESPASS,2020-08-09,14,115
3186,DECEPTIVE PRACTICE,2020-08-09,22,115
3187,HOMICIDE,2020-08-09,3,115
3188,INTERFERENCE WITH PUBLIC OFFICER,2020-08-09,2,115
3189,INTIMIDATION,2020-08-09,1,115
3190,KIDNAPPING,2020-08-09,1,115
3191,MOTOR VEHICLE THEFT,2020-08-09,28,115
3192,NARCOTICS,2020-08-09,13,115
3193,OFFENSE INVOLVING CHILDREN,2020-08-09,4,115
3194,OTHER OFFENSE,2020-08-09,28,115
3195,PUBLIC PEACE VIOLATION,2020-08-09,2,115
3196,ROBBERY,2020-08-09,29,115
3197,SEX OFFENSE,2020-08-09,4,115
3198,THEFT,2020-08-09,97,115
3199,WEAPONS VIOLATION,2020-08-09,38,115
3200,ARSON,2020-08-10,1,376
3201,ASSAULT,2020-08-10,53,376
3202,BATTERY,2020-08-10,121,376
3203,BURGLARY,2020-08-10,315,376
3204,CRIMINAL DAMAGE,2020-08-10,111,376
3205,CRIMINAL SEXUAL ASSAULT,2020-08-10,5,376
3206,CRIMINAL TRESPASS,2020-08-10,4,376
3207,DECEPTIVE PRACTICE,2020-08-10,37,376
3208,HOMICIDE,2020-08-10,2,376
3209,INTIMIDATION,2020-08-10,1,376
3210,KIDNAPPING,2020-08-10,1,376
3211,MOTOR VEHICLE THEFT,2020-08-10,38,376
3212,NARCOTICS,2020-08-10,8,376
3213,OFFENSE INVOLVING CHILDREN,2020-08-10,1,376
3214,OTHER OFFENSE,2020-08-10,33,376
3215,PUBLIC PEACE VIOLATION,2020-08-10,13,376
3216,ROBBERY,2020-08-10,43,376
3217,SEX OFFENSE,2020-08-10,3,376
3218,THEFT,2020-08-10,118,376
3219,WEAPONS VIOLATION,2020-08-10,26,376
3220,ARSON,2020-08-11,1,385
3221,ASSAULT,2020-08-11,57,385
3222,BATTERY,2020-08-11,114,385
3223,BURGLARY,2020-08-11,32,385
3224,CRIMINAL DAMAGE,2020-08-11,57,385
3225,CRIMINAL SEXUAL ASSAULT,2020-08-11,2,385
3226,CRIMINAL TRESPASS,2020-08-11,7,385
3227,DECEPTIVE PRACTICE,2020-08-11,31,385
3228,HOMICIDE,2020-08-11,1,385
3229,INTERFERENCE WITH PUBLIC OFFICER,2020-08-11,2,385
3230,INTIMIDATION,2020-08-11,2,385
3231,MOTOR VEHICLE THEFT,2020-08-11,38,385
3232,NARCOTICS,2020-08-11,15,385
3233,OFFENSE INVOLVING CHILDREN,2020-08-11,3,385
3234,OTHER OFFENSE,2020-08-11,43,385
3235,PUBLIC PEACE VIOLATION,2020-08-11,2,385
3236,ROBBERY,2020-08-11,33,385
3237,SEX OFFENSE,2020-08-11,4,385
3238,STALKING,2020-08-11,2,385
3239,THEFT,2020-08-11,116,385
3240,WEAPONS VIOLATION,2020-08-11,25,385
3241,ARSON,2020-08-12,2,431
3242,ASSAULT,2020-08-12,64,431
3243,BATTERY,2020-08-12,115,431
3244,BURGLARY,2020-08-12,27,431
3245,CONCEALED CARRY LICENSE VIOLATION,2020-08-12,1,431
3246,CRIMINAL DAMAGE,2020-08-12,65,431
3247,CRIMINAL SEXUAL ASSAULT,2020-08-12,5,431
3248,CRIMINAL TRESPASS,2020-08-12,8,431
3249,DECEPTIVE PRACTICE,2020-08-12,33,431
3250,GAMBLING,2020-08-12,2,431
3251,INTERFERENCE WITH PUBLIC OFFICER,2020-08-12,2,431
3252,INTIMIDATION,2020-08-12,1,431
3253,MOTOR VEHICLE THEFT,2020-08-12,24,431
3254,NARCOTICS,2020-08-12,22,431
3255,OFFENSE INVOLVING CHILDREN,2020-08-12,7,431
3256,OTHER OFFENSE,2020-08-12,30,431
3257,PUBLIC PEACE VIOLATION,2020-08-12,5,431
3258,ROBBERY,2020-08-12,29,431
3259,SEX OFFENSE,2020-08-12,5,431
3260,STALKING,2020-08-12,1,431
3261,THEFT,2020-08-12,113,431
3262,WEAPONS VIOLATION,2020-08-12,35,431
3263,ASSAULT,2020-08-13,58,391
3264,BATTERY,2020-08-13,127,391
3265,BURGLARY,2020-08-13,25,391
3266,CRIMINAL DAMAGE,2020-08-13,75,391
3267,CRIMINAL SEXUAL ASSAULT,2020-08-13,5,391
3268,CRIMINAL TRESPASS,2020-08-13,9,391
3269,DECEPTIVE PRACTICE,2020-08-13,34,391
3270,HOMICIDE,2020-08-13,2,391
3271,INTERFERENCE WITH PUBLIC OFFICER,2020-08-13,4,391
3272,LIQUOR LAW VIOLATION,2020-08-13,3,391
3273,MOTOR VEHICLE THEFT,2020-08-13,35,391
3274,NARCOTICS,2020-08-13,32,391
3275,OFFENSE INVOLVING CHILDREN,2020-08-13,3,391
3276,OTHER OFFENSE,2020-08-13,34,391
3277,PUBLIC PEACE VIOLATION,2020-08-13,1,391
3278,ROBBERY,2020-08-13,28,391
3279,SEX OFFENSE,2020-08-13,2,391
3280,STALKING,2020-08-13,3,391
3281,THEFT,2020-08-13,118,391
3282,WEAPONS VIOLATION,2020-08-13,35,391
3283,ARSON,2020-08-14,2,345
3284,ASSAULT,2020-08-14,70,345
3285,BATTERY,2020-08-14,123,345
3286,BURGLARY,2020-08-14,24,345
3287,CRIMINAL DAMAGE,2020-08-14,54,345
3288,CRIMINAL SEXUAL ASSAULT,2020-08-14,7,345
3289,CRIMINAL TRESPASS,2020-08-14,7,345
3290,DECEPTIVE PRACTICE,2020-08-14,31,345
3291,HOMICIDE,2020-08-14,4,345
3292,INTIMIDATION,2020-08-14,1,345
3293,KIDNAPPING,2020-08-14,1,345
3294,LIQUOR LAW VIOLATION,2020-08-14,2,345
3295,MOTOR VEHICLE THEFT,2020-08-14,39,345
3296,NARCOTICS,2020-08-14,29,345
3297,OFFENSE INVOLVING CHILDREN,2020-08-14,6,345
3298,OTHER OFFENSE,2020-08-14,33,345
3299,PUBLIC PEACE VIOLATION,2020-08-14,4,345
3300,ROBBERY,2020-08-14,25,345
3301,SEX OFFENSE,2020-08-14,1,345
3302,STALKING,2020-08-14,2,345
3303,THEFT,2020-08-14,128,345
3304,WEAPONS VIOLATION,2020-08-14,40,345
3305,ARSON,2020-08-15,2,220
3306,ASSAULT,2020-08-15,58,220
3307,BATTERY,2020-08-15,154,220
3308,BURGLARY,2020-08-15,25,220
3309,CRIMINAL DAMAGE,2020-08-15,73,220
3310,CRIMINAL SEXUAL ASSAULT,2020-08-15,1,220
3311,CRIMINAL TRESPASS,2020-08-15,4,220
3312,DECEPTIVE PRACTICE,2020-08-15,28,220
3313,HOMICIDE,2020-08-15,1,220
3314,INTERFERENCE WITH PUBLIC OFFICER,2020-08-15,4,220
3315,LIQUOR LAW VIOLATION,2020-08-15,1,220
3316,MOTOR VEHICLE THEFT,2020-08-15,34,220
3317,NARCOTICS,2020-08-15,9,220
3318,OFFENSE INVOLVING CHILDREN,2020-08-15,3,220
3319,OTHER OFFENSE,2020-08-15,34,220
3320,PUBLIC PEACE VIOLATION,2020-08-15,5,220
3321,ROBBERY,2020-08-15,20,220
3322,SEX OFFENSE,2020-08-15,4,220
3323,STALKING,2020-08-15,1,220
3324,THEFT,2020-08-15,117,220
3325,WEAPONS VIOLATION,2020-08-15,45,220
3326,ARSON,2020-08-16,1,120
3327,ASSAULT,2020-08-16,59,120
3328,BATTERY,2020-08-16,183,120
3329,BURGLARY,2020-08-16,15,120
3330,CRIMINAL DAMAGE,2020-08-16,80,120
3331,CRIMINAL SEXUAL ASSAULT,2020-08-16,3,120
3332,CRIMINAL TRESPASS,2020-08-16,13,120
3333,DECEPTIVE PRACTICE,2020-08-16,24,120
3334,HOMICIDE,2020-08-16,2,120
3335,INTERFERENCE WITH PUBLIC OFFICER,2020-08-16,1,120
3336,LIQUOR LAW VIOLATION,2020-08-16,3,120
3337,MOTOR VEHICLE THEFT,2020-08-16,26,120
3338,NARCOTICS,2020-08-16,12,120
3339,OFFENSE INVOLVING CHILDREN,2020-08-16,4,120
3340,OTHER OFFENSE,2020-08-16,40,120
3341,PUBLIC PEACE VIOLATION,2020-08-16,6,120
3342,ROBBERY,2020-08-16,20,120
3343,STALKING,2020-08-16,1,120
3344,THEFT,2020-08-16,128,120
3345,WEAPONS VIOLATION,2020-08-16,42,120
3346,ARSON,2020-08-17,1,490
3347,ASSAULT,2020-08-17,54,490
3348,BATTERY,2020-08-17,126,490
3349,BURGLARY,2020-08-17,20,490
3350,CRIMINAL DAMAGE,2020-08-17,87,490
3351,CRIMINAL SEXUAL ASSAULT,2020-08-17,6,490
3352,CRIMINAL TRESPASS,2020-08-17,11,490
3353,DECEPTIVE PRACTICE,2020-08-17,46,490
3354,HOMICIDE,2020-08-17,1,490
3355,KIDNAPPING,2020-08-17,1,490
3356,MOTOR VEHICLE THEFT,2020-08-17,42,490
3357,NARCOTICS,2020-08-17,18,490
3358,OFFENSE INVOLVING CHILDREN,2020-08-17,2,490
3359,OTHER OFFENSE,2020-08-17,30,490
3360,PUBLIC PEACE VIOLATION,2020-08-17,3,490
3361,ROBBERY,2020-08-17,26,490
3362,SEX OFFENSE,2020-08-17,2,490
3363,THEFT,2020-08-17,137,490
3364,WEAPONS VIOLATION,2020-08-17,24,490
3365,ARSON,2020-08-18,5,391
3366,ASSAULT,2020-08-18,61,391
3367,BATTERY,2020-08-18,130,391
3368,BURGLARY,2020-08-18,21,391
3369,CRIMINAL DAMAGE,2020-08-18,78,391
3370,CRIMINAL SEXUAL ASSAULT,2020-08-18,1,391
3371,CRIMINAL TRESPASS,2020-08-18,13,391
3372,DECEPTIVE PRACTICE,2020-08-18,43,391
3373,HOMICIDE,2020-08-18,3,391
3374,LIQUOR LAW VIOLATION,2020-08-18,1,391
3375,MOTOR VEHICLE THEFT,2020-08-18,31,391
3376,NARCOTICS,2020-08-18,16,391
3377,OFFENSE INVOLVING CHILDREN,2020-08-18,4,391
3378,OTHER OFFENSE,2020-08-18,31,391
3379,PUBLIC PEACE VIOLATION,2020-08-18,1,391
3380,ROBBERY,2020-08-18,26,391
3381,SEX OFFENSE,2020-08-18,3,391
3382,THEFT,2020-08-18,121,391
3383,WEAPONS VIOLATION,2020-08-18,19,391
3384,ARSON,2020-08-19,5,468
3385,ASSAULT,2020-08-19,64,468
3386,BATTERY,2020-08-19,114,468
3387,BURGLARY,2020-08-19,27,468
3388,CRIMINAL DAMAGE,2020-08-19,74,468
3389,CRIMINAL SEXUAL ASSAULT,2020-08-19,4,468
3390,CRIMINAL TRESPASS,2020-08-19,6,468
3391,DECEPTIVE PRACTICE,2020-08-19,33,468
3392,INTERFERENCE WITH PUBLIC OFFICER,2020-08-19,1,468
3393,MOTOR VEHICLE THEFT,2020-08-19,36,468
3394,NARCOTICS,2020-08-19,9,468
3395,OBSCENITY,2020-08-19,1,468
3396,OFFENSE INVOLVING CHILDREN,2020-08-19,1,468
3397,OTHER OFFENSE,2020-08-19,40,468
3398,PROSTITUTION,2020-08-19,1,468
3399,PUBLIC PEACE VIOLATION,2020-08-19,1,468
3400,ROBBERY,2020-08-19,31,468
3401,SEX OFFENSE,2020-08-19,2,468
3402,THEFT,2020-08-19,140,468
3403,WEAPONS VIOLATION,2020-08-19,31,468
3404,ARSON,2020-08-20,4,399
3405,ASSAULT,2020-08-20,67,399
3406,BATTERY,2020-08-20,123,399
3407,BURGLARY,2020-08-20,22,399
3408,CRIMINAL DAMAGE,2020-08-20,71,399
3409,CRIMINAL SEXUAL ASSAULT,2020-08-20,4,399
3410,CRIMINAL TRESPASS,2020-08-20,7,399
3411,DECEPTIVE PRACTICE,2020-08-20,44,399
3412,GAMBLING,2020-08-20,1,399
3413,HOMICIDE,2020-08-20,2,399
3414,INTERFERENCE WITH PUBLIC OFFICER,2020-08-20,1,399
3415,MOTOR VEHICLE THEFT,2020-08-20,36,399
3416,NARCOTICS,2020-08-20,12,399
3417,OFFENSE INVOLVING CHILDREN,2020-08-20,7,399
3418,OTHER OFFENSE,2020-08-20,34,399
3419,PUBLIC PEACE VIOLATION,2020-08-20,4,399
3420,ROBBERY,2020-08-20,29,399
3421,SEX OFFENSE,2020-08-20,6,399
3422,STALKING,2020-08-20,1,399
3423,THEFT,2020-08-20,130,399
3424,WEAPONS VIOLATION,2020-08-20,27,399
3425,ASSAULT,2020-08-21,51,415
3426,BATTERY,2020-08-21,125,415
3427,BURGLARY,2020-08-21,19,415
3428,CRIMINAL DAMAGE,2020-08-21,66,415
3429,CRIMINAL SEXUAL ASSAULT,2020-08-21,3,415
3430,CRIMINAL TRESPASS,2020-08-21,19,415
3431,DECEPTIVE PRACTICE,2020-08-21,33,415
3432,INTERFERENCE WITH PUBLIC OFFICER,2020-08-21,2,415
3433,INTIMIDATION,2020-08-21,1,415
3434,KIDNAPPING,2020-08-21,1,415
3435,LIQUOR LAW VIOLATION,2020-08-21,2,415
3436,MOTOR VEHICLE THEFT,2020-08-21,34,415
3437,NARCOTICS,2020-08-21,16,415
3438,OFFENSE INVOLVING CHILDREN,2020-08-21,3,415
3439,OTHER OFFENSE,2020-08-21,47,415
3440,PUBLIC PEACE VIOLATION,2020-08-21,4,415
3441,ROBBERY,2020-08-21,37,415
3442,SEX OFFENSE,2020-08-21,2,415
3443,THEFT,2020-08-21,155,415
3444,WEAPONS VIOLATION,2020-08-21,30,415
3445,ARSON,2020-08-22,2,183
3446,ASSAULT,2020-08-22,56,183
3447,BATTERY,2020-08-22,163,183
3448,BURGLARY,2020-08-22,33,183
3449,CRIMINAL DAMAGE,2020-08-22,74,183
3450,CRIMINAL SEXUAL ASSAULT,2020-08-22,6,183
3451,CRIMINAL TRESPASS,2020-08-22,16,183
3452,DECEPTIVE PRACTICE,2020-08-22,18,183
3453,HOMICIDE,2020-08-22,4,183
3454,INTERFERENCE WITH PUBLIC OFFICER,2020-08-22,4,183
3455,KIDNAPPING,2020-08-22,1,183
3456,LIQUOR LAW VIOLATION,2020-08-22,2,183
3457,MOTOR VEHICLE THEFT,2020-08-22,26,183
3458,NARCOTICS,2020-08-22,15,183
3459,OBSCENITY,2020-08-22,1,183
3460,OFFENSE INVOLVING CHILDREN,2020-08-22,5,183
3461,OTHER OFFENSE,2020-08-22,41,183
3462,PUBLIC PEACE VIOLATION,2020-08-22,4,183
3463,ROBBERY,2020-08-22,25,183
3464,SEX OFFENSE,2020-08-22,2,183
3465,THEFT,2020-08-22,113,183
3466,WEAPONS VIOLATION,2020-08-22,29,183
3467,ARSON,2020-08-23,2,117
3468,ASSAULT,2020-08-23,52,117
3469,BATTERY,2020-08-23,160,117
3470,BURGLARY,2020-08-23,24,117
3471,CONCEALED CARRY LICENSE VIOLATION,2020-08-23,1,117
3472,CRIMINAL DAMAGE,2020-08-23,97,117
3473,CRIMINAL SEXUAL ASSAULT,2020-08-23,1,117
3474,CRIMINAL TRESPASS,2020-08-23,9,117
3475,DECEPTIVE PRACTICE,2020-08-23,18,117
3476,HOMICIDE,2020-08-23,1,117
3477,INTERFERENCE WITH PUBLIC OFFICER,2020-08-23,3,117
3478,MOTOR VEHICLE THEFT,2020-08-23,32,117
3479,NARCOTICS,2020-08-23,10,117
3480,OFFENSE INVOLVING CHILDREN,2020-08-23,4,117
3481,OTHER OFFENSE,2020-08-23,33,117
3482,PUBLIC PEACE VIOLATION,2020-08-23,1,117
3483,ROBBERY,2020-08-23,18,117
3484,SEX OFFENSE,2020-08-23,3,117
3485,STALKING,2020-08-23,1,117
3486,THEFT,2020-08-23,118,117
3487,WEAPONS VIOLATION,2020-08-23,35,117
3488,ARSON,2020-08-24,3,528
3489,ASSAULT,2020-08-24,55,528
3490,BATTERY,2020-08-24,130,528
3491,BURGLARY,2020-08-24,25,528
3492,CRIMINAL DAMAGE,2020-08-24,94,528
3493,CRIMINAL TRESPASS,2020-08-24,19,528
3494,DECEPTIVE PRACTICE,2020-08-24,36,528
3495,MOTOR VEHICLE THEFT,2020-08-24,30,528
3496,NARCOTICS,2020-08-24,11,528
3497,OFFENSE INVOLVING CHILDREN,2020-08-24,3,528
3498,OTHER OFFENSE,2020-08-24,34,528
3499,PUBLIC PEACE VIOLATION,2020-08-24,1,528
3500,ROBBERY,2020-08-24,29,528
3501,SEX OFFENSE,2020-08-24,2,528
3502,THEFT,2020-08-24,139,528
3503,WEAPONS VIOLATION,2020-08-24,21,528
3504,ARSON,2020-08-25,3,398
3505,ASSAULT,2020-08-25,50,398
3506,BATTERY,2020-08-25,115,398
3507,BURGLARY,2020-08-25,23,398
3508,CRIMINAL DAMAGE,2020-08-25,61,398
3509,CRIMINAL SEXUAL ASSAULT,2020-08-25,2,398
3510,CRIMINAL TRESPASS,2020-08-25,15,398
3511,DECEPTIVE PRACTICE,2020-08-25,31,398
3512,HOMICIDE,2020-08-25,1,398
3513,INTERFERENCE WITH PUBLIC OFFICER,2020-08-25,6,398
3514,KIDNAPPING,2020-08-25,1,398
3515,LIQUOR LAW VIOLATION,2020-08-25,1,398
3516,MOTOR VEHICLE THEFT,2020-08-25,34,398
3517,NARCOTICS,2020-08-25,16,398
3518,OFFENSE INVOLVING CHILDREN,2020-08-25,7,398
3519,OTHER OFFENSE,2020-08-25,41,398
3520,PUBLIC PEACE VIOLATION,2020-08-25,4,398
3521,ROBBERY,2020-08-25,28,398
3522,SEX OFFENSE,2020-08-25,5,398
3523,THEFT,2020-08-25,158,398
3524,WEAPONS VIOLATION,2020-08-25,26,398
3525,ARSON,2020-08-26,3,382
3526,ASSAULT,2020-08-26,64,382
3527,BATTERY,2020-08-26,112,382
3528,BURGLARY,2020-08-26,28,382
3529,CRIMINAL DAMAGE,2020-08-26,83,382
3530,CRIMINAL SEXUAL ASSAULT,2020-08-26,3,382
3531,CRIMINAL TRESPASS,2020-08-26,14,382
3532,DECEPTIVE PRACTICE,2020-08-26,36,382
3533,HOMICIDE,2020-08-26,4,382
3534,INTERFERENCE WITH PUBLIC OFFICER,2020-08-26,1,382
3535,INTIMIDATION,2020-08-26,1,382
3536,LIQUOR LAW VIOLATION,2020-08-26,1,382
3537,MOTOR VEHICLE THEFT,2020-08-26,31,382
3538,NARCOTICS,2020-08-26,15,382
3539,OFFENSE INVOLVING CHILDREN,2020-08-26,4,382
3540,OTHER OFFENSE,2020-08-26,41,382
3541,ROBBERY,2020-08-26,23,382
3542,SEX OFFENSE,2020-08-26,2,382
3543,THEFT,2020-08-26,137,382
3544,WEAPONS VIOLATION,2020-08-26,39,382
3545,ARSON,2020-08-27,2,377
3546,ASSAULT,2020-08-27,68,377
3547,BATTERY,2020-08-27,110,377
3548,BURGLARY,2020-08-27,15,377
3549,CRIMINAL DAMAGE,2020-08-27,69,377
3550,CRIMINAL SEXUAL ASSAULT,2020-08-27,1,377
3551,CRIMINAL TRESPASS,2020-08-27,12,377
3552,DECEPTIVE PRACTICE,2020-08-27,39,377
3553,HOMICIDE,2020-08-27,3,377
3554,INTERFERENCE WITH PUBLIC OFFICER,2020-08-27,1,377
3555,MOTOR VEHICLE THEFT,2020-08-27,28,377
3556,NARCOTICS,2020-08-27,12,377
3557,OBSCENITY,2020-08-27,1,377
3558,OFFENSE INVOLVING CHILDREN,2020-08-27,3,377
3559,OTHER OFFENSE,2020-08-27,38,377
3560,PUBLIC PEACE VIOLATION,2020-08-27,2,377
3561,ROBBERY,2020-08-27,27,377
3562,SEX OFFENSE,2020-08-27,3,377
3563,THEFT,2020-08-27,132,377
3564,WEAPONS VIOLATION,2020-08-27,19,377
3565,ASSAULT,2020-08-28,61,379
3566,BATTERY,2020-08-28,129,379
3567,BURGLARY,2020-08-28,39,379
3568,CRIMINAL DAMAGE,2020-08-28,74,379
3569,CRIMINAL SEXUAL ASSAULT,2020-08-28,1,379
3570,CRIMINAL TRESPASS,2020-08-28,14,379
3571,DECEPTIVE PRACTICE,2020-08-28,39,379
3572,HOMICIDE,2020-08-28,6,379
3573,INTERFERENCE WITH PUBLIC OFFICER,2020-08-28,2,379
3574,LIQUOR LAW VIOLATION,2020-08-28,1,379
3575,MOTOR VEHICLE THEFT,2020-08-28,30,379
3576,NARCOTICS,2020-08-28,20,379
3577,OFFENSE INVOLVING CHILDREN,2020-08-28,4,379
3578,OTHER OFFENSE,2020-08-28,31,379
3579,PUBLIC PEACE VIOLATION,2020-08-28,1,379
3580,ROBBERY,2020-08-28,23,379
3581,SEX OFFENSE,2020-08-28,1,379
3582,STALKING,2020-08-28,2,379
3583,THEFT,2020-08-28,142,379
3584,WEAPONS VIOLATION,2020-08-28,39,379
